rocmfpx-plugin: info: registered 1 ROCmFPX Vulkan device(s)
rocmfpx-plugin: info: loaded rocmfpx-vulkan-charlie 0.1.0 from /home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/builds/rocmfpx-vulkan-gfx1032-cm1/bin/rocmfpx-vulkan-plugin.so
0.00.080.786 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.080.965 W srv  llama_server: -----------------
0.00.080.967 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.080.968 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.080.968 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.080.968 W srv  llama_server: -----------------
0.00.082.252 I srv    load_model: loading model 'work/results/models/LFM2.5-2.6B-ROCmFPX-Q2.gguf'
0.03.634.460 I cmn          init: llama threadpool init, n_threads = 4
0.03.701.337 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 1024, kv_unified = 'false'
0.03.701.383 W srv    load_model: LLAMA_SERVER_COMPACT_SLOTS = 1
0.03.706.215 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.03.706.250 I srv  llama_server: model loaded
0.03.706.255 I srv  llama_server: listening on http://127.0.0.1:18063
0.10.783.850 I slot get_availabl: id  0 | task -1 | selected lowest available slot (compact policy)
0.10.783.888 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.11.348.993 I slot print_timing: id  0 | task 1 | prompt eval time =     160.39 ms /   128 tokens (    1.25 ms per token,   798.04 tokens per second)
0.11.349.018 I slot print_timing: id  0 | task 1 |        eval time =     404.67 ms /    64 tokens (    6.42 ms per token,   155.68 tokens per second)
0.11.349.019 I slot print_timing: id  0 | task 1 |       total time =     565.07 ms /   192 tokens
0.11.349.024 I slot print_timing: id  0 | task 1 |    graphs reused =         63
0.11.349.074 I slot      release: id  0 | task 1 | stop processing: n_tokens = 191, truncated = 0
0.11.351.858 I slot get_availabl: id  0 | task -1 | selected lowest available slot (compact policy)
0.11.351.906 I slot launch_slot_: id  0 | task 67 | processing task, is_child = 0
0.11.868.514 I slot print_timing: id  0 | task 67 | prompt eval time =     109.12 ms /   128 tokens (    0.85 ms per token,  1172.97 tokens per second)
0.11.868.519 I slot print_timing: id  0 | task 67 |        eval time =     407.46 ms /    64 tokens (    6.47 ms per token,   154.62 tokens per second)
0.11.868.520 I slot print_timing: id  0 | task 67 |       total time =     516.58 ms /   192 tokens
0.11.868.521 I slot print_timing: id  0 | task 67 |    graphs reused =        125
0.11.868.555 I slot      release: id  0 | task 67 | stop processing: n_tokens = 191, truncated = 0
0.11.871.378 I slot get_availabl: id  0 | task -1 | selected lowest available slot (compact policy)
0.11.871.425 I slot launch_slot_: id  0 | task 133 | processing task, is_child = 0
0.12.400.023 I slot print_timing: id  0 | task 133 | prompt eval time =     112.34 ms /   128 tokens (    0.88 ms per token,  1139.43 tokens per second)
0.12.400.033 I slot print_timing: id  0 | task 133 |        eval time =     416.23 ms /    64 tokens (    6.61 ms per token,   151.36 tokens per second)
0.12.400.034 I slot print_timing: id  0 | task 133 |       total time =     528.57 ms /   192 tokens
0.12.400.035 I slot print_timing: id  0 | task 133 |    graphs reused =        187
0.12.400.068 I slot      release: id  0 | task 133 | stop processing: n_tokens = 191, truncated = 0
0.12.401.983 I slot get_availabl: id  0 | task -1 | selected lowest available slot (compact policy)
0.12.402.011 I slot launch_slot_: id  0 | task 199 | processing task, is_child = 0
0.12.912.815 I slot print_timing: id  0 | task 199 | prompt eval time =     108.18 ms /   128 tokens (    0.85 ms per token,  1183.20 tokens per second)
0.12.912.826 I slot print_timing: id  0 | task 199 |        eval time =     402.58 ms /    64 tokens (    6.39 ms per token,   156.49 tokens per second)
0.12.912.828 I slot print_timing: id  0 | task 199 |       total time =     510.76 ms /   192 tokens
0.12.912.833 I slot print_timing: id  0 | task 199 |    graphs reused =        249
0.12.912.890 I slot      release: id  0 | task 199 | stop processing: n_tokens = 191, truncated = 0
0.20.345.260 I slot get_availabl: id  0 | task -1 | selected lowest available slot (compact policy)
0.20.345.302 I slot launch_slot_: id  0 | task 265 | processing task, is_child = 0
0.20.874.446 I slot print_timing: id  0 | task 265 | prompt eval time =     125.54 ms /   128 tokens (    0.98 ms per token,  1019.56 tokens per second)
0.20.874.451 I slot print_timing: id  0 | task 265 |        eval time =     403.58 ms /    64 tokens (    6.41 ms per token,   156.10 tokens per second)
