rocmfpx-plugin: info: registered 1 ROCmFPX Vulkan device(s)
rocmfpx-plugin: info: loaded rocmfpx-vulkan-charlie 0.1.0 from /home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/builds/rocmfpx-vulkan-gfx1032-v3-instrumented/bin/rocmfpx-vulkan-plugin.so
0.00.074.965 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.075.429 W srv  llama_server: -----------------
0.00.075.431 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.075.431 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.075.432 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.075.432 W srv  llama_server: -----------------
0.00.076.716 I srv    load_model: loading model '/home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/results/models/LFM2.5-2.6B-ROCmFP4_FAST.gguf'
0.01.955.333 I cmn          init: llama threadpool init, n_threads = 4
0.01.992.782 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 9216, kv_unified = 'false'
0.01.992.835 W srv    load_model: LLAMA_SERVER_PREFILL_CHUNK_TOKENS = 128
0.01.992.839 W srv    load_model: temporal prefill scheduler: target_ms=65.000 min_tokens=64 max_tokens=128
0.01.992.839 I srv    load_model: sequence policy: lowest_slot_first=0 dense_sequences=0 remap_trace=0
0.01.997.760 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.01.997.794 I srv  llama_server: model loaded
0.01.997.799 I srv  llama_server: listening on http://127.0.0.1:18283
0.10.722.376 I slot get_availabl: id  0 | task -1 | selected slot by id (0)
0.10.722.420 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.10.722.422 I slot get_availabl: id  2 | task -1 | selected slot by id (2)
0.10.722.437 I slot launch_slot_: id  2 | task 2 | processing task, is_child = 0
0.10.795.232 I slot get_availabl: id  1 | task -1 | selected slot by id (1)
0.10.795.264 I slot launch_slot_: id  1 | task 4 | processing task, is_child = 0
0.13.780.046 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2048, progress = 0.25, t =   3.06 s / 669.81 tokens per second
0.13.780.099 I slot print_timing: id  2 | task 2 | prompt processing, n_tokens =   2048, progress = 0.25, t =   3.06 s / 669.82 tokens per second
0.13.983.736 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2176, progress = 0.27, t =   3.26 s / 667.23 tokens per second
0.13.983.770 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2048, progress = 0.25, t =   3.19 s / 642.33 tokens per second
0.13.983.796 I slot print_timing: id  2 | task 2 | prompt processing, n_tokens =   2176, progress = 0.27, t =   3.26 s / 667.24 tokens per second
0.14.188.343 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2304, progress = 0.28, t =   3.47 s / 664.77 tokens per second
0.14.188.379 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2176, progress = 0.27, t =   3.39 s / 641.32 tokens per second
0.14.188.403 I slot print_timing: id  2 | task 2 | prompt processing, n_tokens =   2304, progress = 0.28, t =   3.47 s / 664.78 tokens per second
0.14.394.983 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2432, progress = 0.30, t =   3.67 s / 662.22 tokens per second
0.14.395.033 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2304, progress = 0.28, t =   3.60 s / 640.07 tokens per second
0.14.395.066 I slot print_timing: id  2 | task 2 | prompt processing, n_tokens =   2432, progress = 0.30, t =   3.67 s / 662.23 tokens per second
0.14.599.751 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2560, progress = 0.31, t =   3.88 s / 660.26 tokens per second
0.14.599.786 I slot print_timing: id  1 | task 4 | prompt processing, n_tokens =   2432, progress = 0.30, t =   3.80 s / 639.26 tokens per second
0.14.599.811 I slot print_timing: id  2 | task 2 | prompt processing, n_tokens =   2560, progress = 0.31, t =   3.88 s / 660.27 tokens per second
0.14.806.767 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2688, progress = 0.33, t =   4.08 s / 658.13 tokens per second
