0.00.053.040 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.053.183 W srv  llama_server: -----------------
0.00.053.185 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.053.185 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.053.186 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.053.186 W srv  llama_server: -----------------
0.00.054.410 I srv    load_model: loading model '/home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/results/models/LFM2.5-2.6B-ROCmFP4_FAST.gguf'
0.01.433.245 I cmn          init: llama threadpool init, n_threads = 4
0.01.471.946 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 1024, kv_unified = 'false'
0.01.476.710 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.01.476.749 I srv  llama_server: model loaded
0.01.476.755 I srv  llama_server: listening on http://127.0.0.1:18020
0.08.448.622 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.08.448.667 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.09.070.802 I slot print_timing: id  3 | task 0 | prompt eval time =      89.37 ms /   128 tokens (    0.70 ms per token,  1432.30 tokens per second)
0.09.070.807 I slot print_timing: id  3 | task 0 |        eval time =     532.73 ms /    64 tokens (    8.46 ms per token,   118.26 tokens per second)
0.09.070.808 I slot print_timing: id  3 | task 0 |       total time =     622.10 ms /   192 tokens
0.09.070.812 I slot print_timing: id  3 | task 0 |    graphs reused =         63
0.09.070.851 I slot      release: id  3 | task 0 | stop processing: n_tokens = 191, truncated = 0
0.09.076.248 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.09.076.275 I slot launch_slot_: id  2 | task 66 | processing task, is_child = 0
0.09.081.276 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.09.081.309 I slot launch_slot_: id  1 | task 67 | processing task, is_child = 0
0.09.081.340 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.09.081.354 I slot launch_slot_: id  0 | task 68 | processing task, is_child = 0
0.09.081.378 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 4510254932
0.09.081.434 I slot launch_slot_: id  3 | task 69 | processing task, is_child = 0
0.10.183.904 I slot print_timing: id  0 | task 68 | prompt eval time =     321.00 ms /   128 tokens (    2.51 ms per token,   398.75 tokens per second)
0.10.183.909 I slot print_timing: id  0 | task 68 |        eval time =     781.44 ms /    64 tokens (   12.40 ms per token,    80.62 tokens per second)
0.10.183.910 I slot print_timing: id  0 | task 68 |       total time =    1102.44 ms /   192 tokens
0.10.183.911 I slot print_timing: id  0 | task 68 |    graphs reused =        126
0.10.183.954 I slot      release: id  0 | task 68 | stop processing: n_tokens = 191, truncated = 0
0.10.184.235 I slot print_timing: id  1 | task 67 | prompt eval time =     323.19 ms /   128 tokens (    2.52 ms per token,   396.05 tokens per second)
0.10.184.238 I slot print_timing: id  1 | task 67 |        eval time =     779.56 ms /    64 tokens (   12.37 ms per token,    80.82 tokens per second)
0.10.184.238 I slot print_timing: id  1 | task 67 |       total time =    1102.75 ms /   192 tokens
0.10.184.239 I slot print_timing: id  1 | task 67 |    graphs reused =        126
0.10.184.263 I slot      release: id  1 | task 67 | stop processing: n_tokens = 191, truncated = 0
0.10.184.519 I slot print_timing: id  2 | task 66 | prompt eval time =     325.62 ms /   128 tokens (    2.54 ms per token,   393.10 tokens per second)
0.10.184.521 I slot print_timing: id  2 | task 66 |        eval time =     777.41 ms /    64 tokens (   12.34 ms per token,    81.04 tokens per second)
0.10.184.522 I slot print_timing: id  2 | task 66 |       total time =    1103.03 ms /   192 tokens
0.10.184.522 I slot print_timing: id  2 | task 66 |    graphs reused =        126
0.10.184.552 I slot      release: id  2 | task 66 | stop processing: n_tokens = 191, truncated = 0
0.10.184.853 I slot print_timing: id  3 | task 69 | prompt eval time =     327.81 ms /   128 tokens (    2.56 ms per token,   390.48 tokens per second)
0.10.184.856 I slot print_timing: id  3 | task 69 |        eval time =     775.55 ms /    64 tokens (   12.31 ms per token,    81.23 tokens per second)
0.10.184.857 I slot print_timing: id  3 | task 69 |       total time =    1103.35 ms /   192 tokens
0.10.184.857 I slot print_timing: id  3 | task 69 |    graphs reused =        126
0.10.184.876 I slot      release: id  3 | task 69 | stop processing: n_tokens = 191, truncated = 0
0.10.190.566 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 4511368036
0.10.195.037 I slot launch_slot_: id  0 | task 135 | processing task, is_child = 0
0.10.208.646 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 4511368344
0.10.208.702 I slot launch_slot_: id  1 | task 136 | processing task, is_child = 0
0.10.208.741 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 4511368634
0.10.208.776 I slot launch_slot_: id  2 | task 137 | processing task, is_child = 0
0.10.208.799 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 4511368957
0.10.208.834 I slot launch_slot_: id  3 | task 138 | processing task, is_child = 0
0.11.281.026 I slot print_timing: id  0 | task 135 | prompt eval time =     313.06 ms /   128 tokens (    2.45 ms per token,   408.87 tokens per second)
0.11.281.029 I slot print_timing: id  0 | task 135 |        eval time =     759.10 ms /    64 tokens (   12.05 ms per token,    82.99 tokens per second)
0.11.281.030 I slot print_timing: id  0 | task 135 |       total time =    1072.16 ms /   192 tokens
0.11.281.031 I slot print_timing: id  0 | task 135 |    graphs reused =        189
0.11.281.060 I slot      release: id  0 | task 135 | stop processing: n_tokens = 191, truncated = 0
0.11.281.361 I slot print_timing: id  1 | task 136 | prompt eval time =     313.46 ms /   128 tokens (    2.45 ms per token,   408.34 tokens per second)
0.11.281.364 I slot print_timing: id  1 | task 136 |        eval time =     758.95 ms /    64 tokens (   12.05 ms per token,    83.01 tokens per second)
0.11.281.366 I slot print_timing: id  1 | task 136 |       total time =    1072.42 ms /   192 tokens
0.11.281.366 I slot print_timing: id  1 | task 136 |    graphs reused =        189
0.11.281.404 I slot      release: id  1 | task 136 | stop processing: n_tokens = 191, truncated = 0
0.11.281.729 I slot print_timing: id  2 | task 137 | prompt eval time =     313.87 ms /   128 tokens (    2.45 ms per token,   407.81 tokens per second)
0.11.281.731 I slot print_timing: id  2 | task 137 |        eval time =     758.87 ms /    64 tokens (   12.05 ms per token,    83.02 tokens per second)
0.11.281.732 I slot print_timing: id  2 | task 137 |       total time =    1072.74 ms /   192 tokens
0.11.281.732 I slot print_timing: id  2 | task 137 |    graphs reused =        189
0.11.281.755 I slot      release: id  2 | task 137 | stop processing: n_tokens = 191, truncated = 0
0.11.282.061 I slot print_timing: id  3 | task 138 | prompt eval time =     315.07 ms /   128 tokens (    2.46 ms per token,   406.26 tokens per second)
0.11.282.064 I slot print_timing: id  3 | task 138 |        eval time =     757.94 ms /    64 tokens (   12.03 ms per token,    83.12 tokens per second)
0.11.282.065 I slot print_timing: id  3 | task 138 |       total time =    1073.01 ms /   192 tokens
0.11.282.065 I slot print_timing: id  3 | task 138 |    graphs reused =        189
0.11.282.086 I slot      release: id  3 | task 138 | stop processing: n_tokens = 191, truncated = 0
0.11.287.370 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 4512465141
0.11.292.994 I slot launch_slot_: id  0 | task 204 | processing task, is_child = 0
0.11.309.460 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 4512465485
0.11.309.536 I slot launch_slot_: id  1 | task 205 | processing task, is_child = 0
0.11.309.584 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 4512465837
0.11.309.626 I slot launch_slot_: id  2 | task 206 | processing task, is_child = 0
0.11.309.654 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 4512466168
0.11.309.694 I slot launch_slot_: id  3 | task 207 | processing task, is_child = 0
0.12.409.728 I slot print_timing: id  0 | task 204 | prompt eval time =     320.00 ms /   128 tokens (    2.50 ms per token,   400.00 tokens per second)
0.12.409.743 I slot print_timing: id  0 | task 204 |        eval time =     779.99 ms /    64 tokens (   12.38 ms per token,    80.77 tokens per second)
0.12.409.744 I slot print_timing: id  0 | task 204 |       total time =    1099.99 ms /   192 tokens
0.12.409.745 I slot print_timing: id  0 | task 204 |    graphs reused =        252
0.12.409.794 I slot      release: id  0 | task 204 | stop processing: n_tokens = 191, truncated = 0
0.12.410.185 I slot print_timing: id  1 | task 205 | prompt eval time =     320.58 ms /   128 tokens (    2.50 ms per token,   399.28 tokens per second)
0.12.410.187 I slot print_timing: id  1 | task 205 |        eval time =     779.81 ms /    64 tokens (   12.38 ms per token,    80.79 tokens per second)
0.12.410.189 I slot print_timing: id  1 | task 205 |       total time =    1100.39 ms /   192 tokens
0.12.410.189 I slot print_timing: id  1 | task 205 |    graphs reused =        252
0.12.410.229 I slot      release: id  1 | task 205 | stop processing: n_tokens = 191, truncated = 0
0.12.410.653 I slot print_timing: id  2 | task 206 | prompt eval time =     321.21 ms /   128 tokens (    2.51 ms per token,   398.49 tokens per second)
0.12.410.655 I slot print_timing: id  2 | task 206 |        eval time =     779.59 ms /    64 tokens (   12.37 ms per token,    80.81 tokens per second)
0.12.410.657 I slot print_timing: id  2 | task 206 |       total time =    1100.80 ms /   192 tokens
0.12.410.657 I slot print_timing: id  2 | task 206 |    graphs reused =        252
0.12.410.694 I slot      release: id  2 | task 206 | stop processing: n_tokens = 191, truncated = 0
0.12.411.107 I slot print_timing: id  3 | task 207 | prompt eval time =     323.35 ms /   128 tokens (    2.53 ms per token,   395.85 tokens per second)
0.12.411.111 I slot print_timing: id  3 | task 207 |        eval time =     777.87 ms /    64 tokens (   12.35 ms per token,    80.99 tokens per second)
0.12.411.112 I slot print_timing: id  3 | task 207 |       total time =    1101.22 ms /   192 tokens
0.12.411.113 I slot print_timing: id  3 | task 207 |    graphs reused =        252
0.12.411.147 I slot      release: id  3 | task 207 | stop processing: n_tokens = 191, truncated = 0
0.13.425.873 I srv    operator(): operator(): cleaning up before exit...
