0.00.045.114 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.045.293 W srv  llama_server: -----------------
0.00.045.296 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.045.297 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.045.297 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.045.297 W srv  llama_server: -----------------
0.00.046.568 I srv    load_model: loading model '/home/isaac/Documents/Codex/2026-09-16/recalcar-vas-a-estar-en-paralelo-2/work/results/models/LFM2.5-2.6B-ROCmFP4_FAST.gguf'
0.01.460.772 I cmn          init: llama threadpool init, n_threads = 4
0.01.502.223 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 1024, kv_unified = 'false'
0.01.507.123 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.01.507.165 I srv  llama_server: model loaded
0.01.507.170 I srv  llama_server: listening on http://127.0.0.1:18017
0.08.637.793 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.08.637.868 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.09.273.910 I slot print_timing: id  3 | task 0 | prompt eval time =     124.86 ms /   128 tokens (    0.98 ms per token,  1025.18 tokens per second)
0.09.273.913 I slot print_timing: id  3 | task 0 |        eval time =     511.14 ms /    64 tokens (    8.11 ms per token,   123.25 tokens per second)
0.09.273.914 I slot print_timing: id  3 | task 0 |       total time =     636.00 ms /   192 tokens
0.09.273.919 I slot print_timing: id  3 | task 0 |    graphs reused =         63
0.09.273.958 I slot      release: id  3 | task 0 | stop processing: n_tokens = 191, truncated = 0
0.09.279.100 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.09.279.133 I slot launch_slot_: id  2 | task 67 | processing task, is_child = 0
0.09.283.310 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.09.283.331 I slot launch_slot_: id  1 | task 68 | processing task, is_child = 0
0.09.283.350 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.09.283.360 I slot launch_slot_: id  0 | task 69 | processing task, is_child = 0
0.09.283.379 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 4428790307
0.09.283.412 I slot launch_slot_: id  3 | task 70 | processing task, is_child = 0
0.10.535.470 I slot print_timing: id  0 | task 69 | prompt eval time =     467.66 ms /   128 tokens (    3.65 ms per token,   273.70 tokens per second)
0.10.535.475 I slot print_timing: id  0 | task 69 |        eval time =     784.36 ms /    64 tokens (   12.45 ms per token,    80.32 tokens per second)
0.10.535.476 I slot print_timing: id  0 | task 69 |       total time =    1252.02 ms /   192 tokens
0.10.535.477 I slot print_timing: id  0 | task 69 |    graphs reused =        129
0.10.535.508 I slot      release: id  0 | task 69 | stop processing: n_tokens = 191, truncated = 0
0.10.535.830 I slot print_timing: id  1 | task 68 | prompt eval time =     469.76 ms /   128 tokens (    3.67 ms per token,   272.48 tokens per second)
0.10.535.835 I slot print_timing: id  1 | task 68 |        eval time =     782.61 ms /    64 tokens (   12.42 ms per token,    80.50 tokens per second)
0.10.535.836 I slot print_timing: id  1 | task 68 |       total time =    1252.38 ms /   192 tokens
0.10.535.837 I slot print_timing: id  1 | task 68 |    graphs reused =        129
0.10.535.875 I slot      release: id  1 | task 68 | stop processing: n_tokens = 191, truncated = 0
0.10.536.235 I slot print_timing: id  2 | task 67 | prompt eval time =     471.87 ms /   128 tokens (    3.69 ms per token,   271.26 tokens per second)
0.10.536.240 I slot print_timing: id  2 | task 67 |        eval time =     780.91 ms /    64 tokens (   12.40 ms per token,    80.68 tokens per second)
0.10.536.241 I slot print_timing: id  2 | task 67 |       total time =    1252.78 ms /   192 tokens
0.10.536.241 I slot print_timing: id  2 | task 67 |    graphs reused =        129
0.10.536.263 I slot      release: id  2 | task 67 | stop processing: n_tokens = 191, truncated = 0
0.10.536.564 I slot print_timing: id  3 | task 70 | prompt eval time =     473.98 ms /   128 tokens (    3.70 ms per token,   270.06 tokens per second)
0.10.536.570 I slot print_timing: id  3 | task 70 |        eval time =     779.13 ms /    64 tokens (   12.37 ms per token,    80.86 tokens per second)
0.10.536.570 I slot print_timing: id  3 | task 70 |       total time =    1253.11 ms /   192 tokens
0.10.536.571 I slot print_timing: id  3 | task 70 |    graphs reused =        129
0.10.536.591 I slot      release: id  3 | task 70 | stop processing: n_tokens = 191, truncated = 0
0.10.544.227 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 4430051857
0.10.550.502 I slot launch_slot_: id  0 | task 137 | processing task, is_child = 0
